År;Månad;Företag;M;FP;C;KD;S;V;MP;SD;Övriga;M FP C KD (1);S V MP (2);(1) - (2);Osäkra;Publicerad;Intervjperiod;Intervjuer;FI;PP;;
2009;November;Sifo;28,5;7,0;4,5;4,0;33,3;5,9;9,7;5,8;1,4;44,0;48,9;-4,9;14,1;15 nov;2-12 nov;1 894;;;;
2009;November;Demoskop;29,3;7,1;4,5;3,8;33,9;6,4;9,4;4,4;1,2;44,7;49,7;-5,0;11,0;9 nov;28 okt - 4 nov;1 004;;;;
2009;November;Skop;28,9;7,7;5,5;4,7;33,5;4,3;8,6;4,4;2,4;46,8;46,4;0,4;;4 nov;11 okt - 3 nov;1 100;;;;
;;;;;;;;;;;;;;;;;;;;;;
2009;Oktober;Synovate;29,0;7,8;5,0;4,7;34,6;4,8;7,8;3,9;2,4;46,5;47,2;-0,7;20,0;28 okt;5-26 okt;2 623;;1,5;;
2009;Oktober;United Minds;26,6;5,9;4,6;4,2;33,7;5,7;8,6;6,0;4,6;41,3;48,0;-6,7;;27 okt;5-25 okt;1 878;;2,1;;
2009;Oktober;Novus;26,9;6,8;6,2;4,3;36,4;4,7;8,6;4,0;2,1;44,2;49,7;-5,5;14,1;22 okt;6-19 okt;1 941;;0,9;;
2009;Oktober;Sifo;29,2;6,3;4,6;4,3;35,7;5,9;7,6;4,7;1,8;44,4;49,2;-4,8;12,6;18 okt;5-15 okt;1 907;;;;
2009;Oktober;Skop;28,4;8,4;5,9;5,1;32,9;5,3;8,9;3,6;1,7;47,8;47,1;0,7;;18 okt;10 sept - 9 okt;1 793;;;;
2009;Oktober;Demoskop;27,2;7,5;5,5;3,7;35,5;6,5;8,8;3,7;1,6;43,9;50,8;-6,9;12,6;10 okt;30 sept - 7 okt;1 005;;;;
2009;Oktober;United Minds;25,3;7,9;6,3;4,5;32,6;6,1;7,9;5,6;3,8;44,0;46,6;-2,6;11,3;6 okt;8 sept - 5 okt;1 114;;2,3;;
;;;;;;;;;;;;;;;;;;;;;;
2009;September;Synovate;29,8;6,0;5,1;4,2;34,0;6,8;8,0;3,7;2,3;45,1;48,8;-3,7;18,1;19 sept;2 - 16 sept;2 197;;;;
2009;September;Novus;27,2;6,3;5,8;4,2;34,9;5,9;8,7;4,2;2,6;43,5;49,5;-6,0;12,1;17 sept;1 - 14 sept;2 000;;1,8;;
2009;September;Skop;28,9;9,2;5,9;5,7;31,8;5,0;9,1;2,4;2,3;49,7;45,9;3,8;6,0;13 sept;12 aug - 4 sept;1 136;;2,5;;
2009;September;Sifo;29,0;7,3;5,0;3,7;34,0;5,5;8,9;3,9;2,7;45,0;48,4;-3,4;11,8;13 sept;31 aug - 10 sept;1 895;;1,6;;
2009;September;United Minds;25,3;7,0;5,0;4,6;31,6;6,4;8,7;5,3;6,1;41,9;46,7;-4,8;12,1;8 sept;12 aug - 6 sept;3 110;;3,1;;
2009;September;Demoskop;27,8;8,6;4,6;4,1;36,6;5,1;7,8;4,4;1,1;45,1;49,5;-4,4;14,4;3 sept;26 aug - 2 sept;1 007;;;;
;;;;;;;;;;;;;;;;;;;;;;
2009;Augusti;Synovate;26,7;8,4;5,5;4,4;36,3;5,3;8,1;3,2;2,1;45,0;49,7;-4,7;21,6;26 juni;17 - 26 aug;1 941;;1-1,5;;
2009;Augusti;Novus;25,5;7,8;6,3;4,6;33,7;5,9;9,0;4,6;2,7;44,2;48,6;-4,4;14,5;27 aug;11 - 24 aug;2 000;;1,7;;
2009;Augusti;Sifo;27,6;6,8;6,1;4,7;32,8;6,1;9,2;4,2;2,5;45,2;48,1;-2,9;12,8;23 aug;10 - 20 aug;1 911;;1,6;;
2009;Augusti;Skop;29,5;7,2;6,1;4,7;31,6;6,0;8,6;3,1;3,1;47,5;46,2;1,3;8,0;13 aug;27 juli - 11 aug;1 132;;2,5;;
2009;Augusti;United Minds;26,3;7,6;4,6;3,6;29,5;7,4;9,8;5,6;5,5;42,1;46,7;-4,6;11,9;13 aug;18 juli - 12 aug;1 066;;2,9;;
2009;Augusti;Demoskop;28,0;9,4;7,1;2,7;32,1;7,4;9,5;1,7;2;47,2;49,0;-1,8;12,7;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
2009;Juli;Skop;27,5;10,1;4,5;6,1;31,9;6,0;9,0;3,3;1,7;48,2;46,9;1,3;;20 juli;11 juni - 7 juli;1 100;;;;
2009;Juli;United Minds;26,8;6,5;4,5;4,0;31,4;6,7;10,0;4,1;6;41,8;48,1;-6,3;9,4;19 juli;24 juni -17 juli;1 914;;4,2;;
2009;Juli;Demoskop;26,7;9,1;4,7;3,7;33,3;5,5;9,3;4,0;3,7;44,2;48,1;-3,9;15,7;3 juli;24 juni - 1 juli;1 009;;;;
;;;;;;;;;;;;;;;;;;;;;;
2009;Juni;Synovate;28,1;7,8;5,4;4,0;34,0;5,4;8,0;3,3;4,1;45,3;47,4;-2,1;18,2;26 juni;9 - 23 juni;2 289;;2-3;;
2009;Juni;Novus;24,4;7,9;5,3;4,5;34,3;5,8;9,5;3,5;4,9;42,1;49,6;-7,5;12,0;25 juni;9 - 22 juni;2 000;;2,4;;
