År,Månad,Företag,M,L,C,KD,S,V,MP,FI,PP,SD,Övriga,Osäkra,Publicerad,Intervjuperiod,Intervjuer
2015,November,Ipsos,23.2,6.6,6.3,3.3,27.5,7.2,6.8,1.6,,17.2,1.9,16.4,27-Nov,13 - 23 nov,1202
2015,November,Novus,22.6,5.2,7,3.8,24.4,7.1,6.4,1.9,,20.7,2.8,7.8,26-Nov,26 okt - 22 nov,4004
2015,November,Sifo,24.6,5.8,6.8,3.9,26.8,6.6,5.8,1.6,,17.6,2.2,14.4,22-Nov,9 - 19 nov,1941
2015,November,YouGov,20.6,5.1,7.5,3.6,21.4,6.7,5.5,2.3,,26.7,3,,19-Nov,13 - 16 nov,1530
2015,November,Aftonbladet,21.5,4.8,8.3,5.6,25.8,5.7,5.5,,,20.7,0.7,,18-Nov,9 - 16 nov,2054
2015,November,Sentio,19.3,5.2,7.4,2.9,22,6.5,5.5,2.5,1.2,26.8,4.4,,12-Nov,5 - 10 nov,1045
2015,November,Demoskop,22.1,5.4,6.9,3.5,26.7,5.8,7.2,2.2,,18.9,3.5,12.8,07-Nov,27 okt - 4 nov,1250
,,,,,,,,,,,,,,,,,
2015,Oktober,Novus,22.4,4.8,6.9,3.9,26,6.6,6.6,2.1,,19.4,3.4,8.4,29 okt,28 sept - 25 okt,4003
2015,Oktober,Ipsos,22,6.3,7.1,3.3,27.7,6.6,6.6,1.9,,17.6,2.9,14.6,28 okt,15 - 26 okt,1201
2015,Oktober,Skop,23.8,5.9,8.6,3.7,27.1,5.2,7.8,2,,15.7,2.2,12,23 okt,4 - 21 okt,1021
2015,Oktober,Aftonbladet,20.8,4.2,8.4,6.6,26.2,5.7,5.3,1.4,,20.5,2.3,,22 okt,12 - 20 okt,2256
2015,Oktober,Sifo,23.8,5.6,8,3.7,24.6,7.3,7.1,2.2,,17.2,2.7,13.1,18 okt,5 - 15 okt,1940
2015,Oktober,YouGov,21.8,4.5,6.2,3.9,23.2,7,4.9,2.5,,24.8,3.7,,14 okt,8 - 12 okt,1542
2015,Oktober,Sentio,20.8,4.6,6.7,1.9,23.1,7.9,5.1,3.4,0.9,25,4.9,,9 okt,1 - 8 okt,1043
2015,Oktober,Demoskop,22.3,4.7,7.6,3.5,25.2,7,6.7,2.6,,19.5,3.5,13,9 okt,29 sept - 6 okt,1252
,,,,,,,,,,,,,,,,,
2015,September,Aftonbladet,22,4.1,8.4,3.5,25.6,7,5.2,1.9,,21.2,3,,25-Sep,16 - 24 sept,2240
2015,September,Ipsos,22.5,6.6,7.1,3,27.3,6.6,7.3,1.9,,16.7,2.8,13.9,24-Sep,9 - 20 sept,1201
2015,September,Sifo,22.8,5,6.7,3.7,27,7.3,7.2,2.4,,17.7,2.8,12.1,20-Sep,7 - 17 sept,1916
2015,September,YouGov,20,3.7,7.5,4.9,21.8,6.5,5,2.5,,27.3,3.2,,17-Sep,10 - 14 sept,1515
2015,September,Novus,23.1,4.9,6,3.2,26.5,6.7,5.9,2.1,,20.8,2.9,7.8,15-Sep,24 aug - 13 sept,3002
2015,September,Sentio,19.8,4.1,6.6,2.6,24.1,4.9,6.7,2.7,1.3,26.5,4.7,,10-Sep,3 - 9 sept,1013
